data,et,lon,optical_depth,radius,rev,star_name
721.0,171475604.7904692,11.861636326426868,1.2308841585665282,204588.40323648442,9,alpleo
664.0,171475604.99046797,11.860854223883726,1.254439671081592,204584.40618612792,9,alpleo
713.0,171475605.19046664,11.860072084782376,1.2327536861715798,204580.40917251995,9,alpleo
690.0,171475605.39046538,11.859289922679523,1.2495504669763369,204576.41218178815,9,alpleo
741.0,171475605.5904641,11.858507724574588,1.2276370324719665,204572.41522668436,9,alpleo
654.0,171475605.79046285,11.857725496766207,1.2551188491235385,204568.418301314,9,alpleo
697.0,171475605.9904616,11.856943242060147,1.2408845255040226,204564.42140300004,9,alpleo
672.0,171475606.1904603,11.856160949999408,1.2522454985744915,204560.42454141765,9,alpleo
658.0,171475606.39045903,11.855378634756255,1.2580908447566737,204556.42770320017,9,alpleo
650.0,171475606.59045774,11.85459628448174,1.2561076375354367,204552.43089995888,9,alpleo
670.0,171475606.79045647,11.853813903007415,1.2502454088922286,204548.43412775616,9,alpleo
684.0,171475606.99045518,11.853031495815546,1.2453278328677349,204544.437380853,9,alpleo
716.0,171475607.19045392,11.852249050954153,1.2337313237650633,204540.4406716,9,alpleo
753.0,171475607.39045262,11.8514665824078,1.225663874614964,204536.44398608553,9,alpleo
641.0,171475607.59045136,11.85068407988542,1.260539295122898,204532.44733456086,9,alpleo
666.0,171475607.79045007,11.849901544824888,1.2516671175495282,204528.45071542813,9,alpleo
686.0,171475607.99044877,11.849118985072492,1.2449233718697763,204524.45412057213,9,alpleo
713.0,171475608.1904475,11.848336387546533,1.2343552280540018,204520.45756383595,9,alpleo
688.0,171475608.39044628,11.847553765565504,1.2445053340699122,204516.46103137394,9,alpleo
698.0,171475608.59044498,11.846771110702266,1.2442225662247288,204512.4645313446,9,alpleo
701.0,171475608.79044372,11.84598842213548,1.243457959851193,204508.46806518518,9,alpleo
692.0,171475608.9904424,11.845205709732411,1.238475114088483,204504.47162293474,9,alpleo
697.0,171475609.19044116,11.844422959499868,1.2396260208861853,204500.4752179922,9,alpleo
656.0,171475609.39043987,11.843640183866981,1.2574370160949833,204496.4788384954,9,alpleo
674.0,171475609.5904386,11.842857376768727,1.2493647276385207,204492.48249075614,9,alpleo
690.0,171475609.7904373,11.84207453474447,1.240045433299281,204488.48617731332,9,alpleo
725.0,171475609.99043608,11.841291669390225,1.2309590831198716,204484.48988715332,9,alpleo
709.0,171475610.19043478,11.840508766584339,1.23915428984093,204480.49363417635,9,alpleo
707.0,171475610.3904335,11.839725837192537,1.2376043608639535,204476.4974081201,9,alpleo
708.0,171475610.59043226,11.8389428777047,1.2335484167625388,204472.50121213586,9,alpleo
684.0,171475610.79043096,11.83815988235849,1.240686450274207,204468.50505159504,9,alpleo
697.0,171475610.99042967,11.837376863976072,1.2386884374331297,204464.50891415207,9,alpleo
673.0,171475611.1904284,11.836593808756838,1.247912864188519,204460.51281344835,9,alpleo
675.0,171475611.39042714,11.835810725417957,1.2491995084272747,204456.5167408948,9,alpleo
740.0,171475611.59042585,11.83502761348834,1.2267910841794634,204452.5206966532,9,alpleo
710.0,171475611.7904246,11.83424446490969,1.233675179226212,204448.52468896474,9,alpleo
686.0,171475611.9904233,11.833461293347034,1.2473621526169079,204444.5287044828,9,alpleo
699.0,171475612.19042203,11.8326780856616,1.2444829810403462,204440.53275556088,9,alpleo
719.0,171475612.39042073,11.831894848278914,1.2350130209890915,204436.53683646367,9,alpleo
631.0,171475612.59041947,11.831111583896792,1.2659285393262187,204432.54094445222,9,alpleo
732.0,171475612.7904182,11.830328282165402,1.2271513858573784,204428.54508951568,9,alpleo
684.0,171475612.99041694,11.829544957115962,1.2463193886978157,204424.54925745152,9,alpleo
631.0,171475613.19041562,11.828761597010748,1.2615566419574982,204420.55346079788,9,alpleo
721.0,171475613.3904144,11.827978205644621,1.2342003990242945,204416.55769496952,9,alpleo
688.0,171475613.5904131,11.827194788658145,1.2409585008615982,204412.56195542723,9,alpleo
698.0,171475613.79041183,11.826411333802039,1.237675847739449,204408.5662528782,9,alpleo
685.0,171475613.99041057,11.825627855275958,1.2464509314918018,204404.57057430447,9,alpleo
673.0,171475614.1904093,11.824844342660247,1.2499931106773812,204400.5749297105,9,alpleo
630.0,171475614.39040804,11.824060797525508,1.2654398817624344,204396.57931774118,9,alpleo
679.0,171475614.59040678,11.823277227593508,1.2442460092965093,204392.5837299468,9,alpleo
684.0,171475614.79040545,11.822493619850343,1.2472539449337323,204388.58818048908,9,alpleo
657.0,171475614.99040422,11.821709987610213,1.2539102872249626,204384.59265521716,9,alpleo
670.0,171475615.19040293,11.820926322408068,1.2507477712470454,204380.5971625498,9,alpleo
698.0,171475615.39040166,11.82014262340767,1.2382304391699868,204376.6017034397,9,alpleo
711.0,171475615.59040034,11.819358900546233,1.235622628545618,204372.60626849468,9,alpleo
729.0,171475615.7903991,11.818575139904082,1.2300000767003427,204368.61087155913,9,alpleo
689.0,171475615.99039784,11.817791353808145,1.2435779536428662,204364.615499888,9,alpleo
695.0,171475616.19039655,11.817007536000723,1.2379326573379998,204360.62015930563,9,alpleo
627.0,171475616.39039525,11.816223683420473,1.266675082660272,204356.6248540053,9,alpleo
692.0,171475616.590394,11.815439807412742,1.2454096116782685,204352.62957182378,9,alpleo
680.0,171475616.7903927,11.81465589389884,1.2478005862348225,204348.63432704017,9,alpleo
717.0,171475616.99039143,11.813871953700172,1.2400687848097396,204344.63910873412,9,alpleo
707.0,171475617.19039017,11.81308798338626,1.2395895248331066,204340.6439209944,9,alpleo
